# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:22:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\yu76opjf.json
# init = 2 (Default)
# random
#   seed = 23920
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308232202_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.817082
# Diagonal elements of inverse mass matrix:
# 0.45244
-9.04352,1,0.817082,1,1,0,9.77761,0.14144
-8.68168,1,0.817082,1,1,0,9.05547,0.162853
-7.63824,1,0.817082,2,3,0,8.49918,0.334928
-7.65843,0.987372,0.817082,2,3,0,7.72892,0.306338
-7.65129,0.994628,0.817082,1,3,0,7.70639,0.355607
-7.64437,0.927054,0.817082,2,3,0,8.21,0.348592
-7.79204,0.956227,0.817082,1,3,0,7.92558,0.261125
-7.92964,0.939545,0.817082,1,3,0,8.54302,0.441373
-7.70485,0.951146,0.817082,1,3,0,8.29403,0.285
-7.66644,1,0.817082,1,1,0,7.6977,0.301534
-7.65562,0.99288,0.817082,1,3,0,7.73139,0.359063
-7.74708,0.967175,0.817082,2,7,0,7.88977,0.272098
-7.72788,0.992201,0.817082,2,3,0,7.85523,0.277547
-7.95235,0.890391,0.817082,2,3,0,8.90589,0.445612
-7.72544,1,0.817082,2,7,0,7.92076,0.278283
-7.779,0.990428,0.817082,1,1,0,7.78377,0.264099
-7.64479,0.99728,0.817082,1,3,0,7.78306,0.317797
-8.2628,0.872238,0.817082,1,3,0,8.52531,0.196097
-8.78776,0.931932,0.817082,1,1,0,8.791,0.156041
-9.06762,0.989461,0.817082,2,3,0,9.15086,0.140177
-7.6564,0.939376,0.817082,1,3,0,9.99731,0.359633
