# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:22:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\yu76opjf.json
# init = 2 (Default)
# random
#   seed = 23920
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308232202_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.05919
# Diagonal elements of inverse mass matrix:
# 0.461227
-8.98496,0.950296,1.05919,2,3,0,9.0309,0.144582
-9.50837,0.910579,1.05919,1,1,0,9.70094,0.119808
-8.39716,1,1.05919,1,1,0,9.30381,0.184071
-7.86921,1,1.05919,1,1,0,8.2648,0.245893
-7.64966,0.988267,1.05919,1,3,0,7.84988,0.35417
-7.64344,0.98458,1.05919,2,3,0,7.71373,0.347395
-8.03885,0.897685,1.05919,2,3,0,8.21043,0.220679
-7.92627,0.839828,1.05919,2,3,0,9.41286,0.236453
-8.11148,0.983692,1.05919,2,3,0,8.16519,0.211915
-7.82795,1,1.05919,1,1,0,8.05194,0.253597
-7.887,0.98303,1.05919,1,1,0,7.93516,0.242815
-8.30122,0.897783,1.05919,1,3,0,8.67027,0.497918
-7.75755,0.981108,1.05919,2,3,0,8.47745,0.269348
-8.43359,0.814919,1.05919,2,3,0,8.91967,0.513895
-7.99591,1,1.05919,2,3,0,8.33809,0.226332
-8.18646,0.983723,1.05919,2,3,0,8.25604,0.203721
-8.18646,0.794789,1.05919,1,1,0,8.99365,0.203721
-8.21891,0.991912,1.05919,1,1,0,8.36748,0.2004
-7.77385,1,1.05919,2,3,0,8.09494,0.265316
-7.646,0.988632,1.05919,2,3,0,7.79168,0.350502
-8.05169,0.891201,1.05919,1,3,0,8.05586,0.462604
