# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:26:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\d_i5mbmc.json
# init = 2 (Default)
# random
#   seed = 153
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308232659_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.816292
# Diagonal elements of inverse mass matrix:
# 0.451341
-7.70785,0.99343,0.816292,1,1,0,7.71005,0.38528
-7.68939,1,0.816292,1,1,0,7.71027,0.377746
-7.68991,1,0.816292,2,7,0,7.69094,0.290604
-7.88988,0.932393,0.816292,1,3,0,8.21794,0.433541
-7.63817,1,0.816292,2,3,0,7.86378,0.333339
-7.65243,0.996767,0.816292,1,3,0,7.65859,0.356562
-7.65887,0.998663,0.816292,1,1,0,7.66034,0.361384
-7.64296,0.912879,0.816292,2,3,0,8.33145,0.346745
-7.89032,0.952528,0.816292,1,3,0,7.94744,0.433631
-7.92682,0.99193,0.816292,1,1,0,7.97193,0.440835
-7.89264,1,0.816292,2,7,0,7.91719,0.241867
-7.83375,1,0.816292,1,1,0,7.90217,0.25246
-7.85449,0.996491,0.816292,1,1,0,7.88352,0.248542
-7.99552,0.977095,0.816292,1,1,0,8.00379,0.226386
-7.66828,0.966464,0.816292,1,3,0,8.31476,0.367243
-7.86949,0.925633,0.816292,1,3,0,8.16134,0.245842
-7.70176,0.966818,0.816292,1,3,0,8.21249,0.382915
-7.65418,0.988596,0.816292,1,3,0,7.7872,0.309292
-7.64781,0.995861,0.816292,1,3,0,7.69066,0.352403
-8.23275,0.891043,0.816292,1,3,0,8.36649,0.489013
-8.07511,1,0.816292,2,3,0,8.25723,0.466306
-8.03183,0.840912,0.816292,1,3,0,9.43858,0.221577
-8.42967,0.942818,0.816292,1,1,0,8.4306,0.181385
-8.34165,0.855393,0.816292,1,3,0,10.7869,0.50296
-7.92126,1,0.816292,1,1,0,8.25197,0.439767
-8.53129,0.679084,0.816292,1,3,0,10.2975,0.17346
-9.22841,0.937424,0.816292,2,7,0,9.54298,0.588826
-8.00353,1,0.816292,2,7,0,9.04415,0.225299
