# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:26:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\d_i5mbmc.json
# init = 2 (Default)
# random
#   seed = 153
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308232659_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.770057
# Diagonal elements of inverse mass matrix:
# 0.482401
-7.65976,0.996796,0.770057,2,3,0,7.73562,0.361987
-7.64983,0.993877,0.770057,1,3,0,7.70974,0.312777
-7.64983,0.570435,0.770057,1,3,0,10.9312,0.312777
-8.15994,0.845318,0.770057,2,3,0,8.88172,0.206531
-7.84767,0.995434,0.770057,2,7,0,8.18752,0.424538
-7.9834,0.859938,0.770057,1,3,0,8.92626,0.228056
-7.78888,0.932006,0.770057,1,3,0,8.70678,0.410373
-7.63931,0.996751,0.770057,1,3,0,7.81028,0.339838
-7.65906,0.997437,0.770057,2,3,0,7.66337,0.361513
-7.66881,0.988032,0.770057,1,3,0,7.75381,0.300252
-7.67449,0.998979,0.770057,1,1,0,7.67852,0.297379
-7.79528,0.987601,0.770057,2,7,0,7.8021,0.412033
-7.64404,0.902988,0.770057,2,3,0,8.60258,0.318704
-7.64587,0.999659,0.770057,1,1,0,7.6465,0.316591
-7.67388,0.973301,0.770057,2,3,0,7.85734,0.297679
-7.72826,0.942219,0.770057,2,3,0,8.1621,0.277433
-10.1146,0.746274,0.770057,2,3,0,10.1443,0.098053
-9.17664,0.982624,0.770057,2,3,0,10.7867,0.134681
-9.67012,0.95459,0.770057,1,1,0,9.72753,0.113404
-10.5426,0.9336,0.770057,1,1,0,10.5655,0.0857481
-9.78767,1,0.770057,1,1,0,10.5287,0.109045
-10.16,0.970824,0.770057,1,1,0,10.289,0.0966453
-7.87058,0.940111,0.770057,1,3,0,10.6615,0.24565
-8.22704,0.965317,0.770057,2,7,0,8.29802,0.488248
-7.89944,0.957655,0.770057,2,3,0,8.67624,0.435475
-7.67732,0.96258,0.770057,1,3,0,8.19207,0.296038
-7.72764,0.997052,0.770057,2,3,0,7.72769,0.27762
-7.64848,0.988417,0.770057,2,7,0,7.82392,0.353057
-7.75054,0.968185,0.770057,2,7,0,7.88404,0.271173
-7.6793,0.977849,0.770057,1,3,0,7.96091,0.373061
-7.63968,0.945501,0.770057,2,3,0,8.11089,0.340827
-8.00061,0.909342,0.770057,1,3,0,8.26433,0.225694
-7.94404,1,0.770057,2,3,0,8.02591,0.233742
-7.66322,0.968692,0.770057,1,3,0,8.24557,0.364227
-9.28487,0.812538,0.770057,2,7,0,9.2931,0.129543
-9.03421,1,0.770057,1,1,0,9.36371,0.141931
-7.71374,0.999534,0.770057,3,7,0,8.79564,0.387475
-7.93878,0.892787,0.770057,1,3,0,8.47789,0.234535
-8.32095,0.847907,0.770057,1,3,0,9.72962,0.500398
-7.64373,0.990175,0.770057,1,3,0,8.39405,0.347784
-7.73064,0.97304,0.770057,1,3,0,7.827,0.276728
-7.85059,0.980045,0.770057,1,1,0,7.8506,0.249263
-7.68638,0.964844,0.770057,2,7,0,8.1659,0.376401
-7.88323,0.915963,0.770057,1,3,0,8.27712,0.243456
-7.73106,0.954231,0.770057,1,3,0,8.35589,0.393485
-7.69441,1,0.770057,1,1,0,7.7273,0.379911
-7.85403,0.926198,0.770057,2,7,0,8.24119,0.248627
-8.06388,0.967944,0.770057,1,1,0,8.06495,0.217553
-8.15621,0.995607,0.770057,2,3,0,8.19736,0.206934
-7.71399,0.937974,0.770057,1,3,0,8.81281,0.387568
-7.6479,0.998581,0.770057,2,3,0,7.72761,0.352487
