# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:27:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\mnma5azk.json
# init = 2 (Default)
# random
#   seed = 44217
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308232738_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.903418
# Diagonal elements of inverse mass matrix:
# 0.438849
-7.64294,0.915878,0.903418,2,3,0,8.30475,0.32013
-7.94768,0.932892,0.903418,1,3,0,8.01646,0.233199
-7.9333,1,0.903418,1,1,0,8.00249,0.235368
-7.85957,0.785404,0.903418,2,3,0,10.2233,0.427158
-8.31287,0.886418,0.903418,1,1,0,8.31892,0.499387
-7.99064,1,0.903418,1,1,0,8.26625,0.452435
-7.74563,0.944891,0.903418,1,3,0,8.35452,0.272491
-7.71126,0.97933,0.903418,1,3,0,7.94119,0.386561
-8.13481,0.813766,0.903418,2,3,0,8.85335,0.209281
-8.3498,0.987911,0.903418,2,3,0,8.39459,0.18813
-8.45114,0.98378,0.903418,1,1,0,8.55577,0.179653
-7.64924,0.975002,0.903418,2,3,0,8.71145,0.353781
-7.68118,0.990167,0.903418,2,3,0,7.72456,0.373974
-7.68118,0.882516,0.903418,1,3,0,8.15866,0.373974
-8.14176,0.910936,0.903418,1,3,0,8.15964,0.476335
-7.76212,1,0.903418,2,7,0,8.05397,0.268189
-7.84808,0.970926,0.903418,2,3,0,8.06279,0.249729
-7.63964,1,0.903418,2,3,0,7.8385,0.32599
-8.01136,0.911168,0.903418,1,3,0,8.12575,0.455976
-8.3088,0.923442,0.903418,1,1,0,8.35591,0.498875
-8.80164,0.876331,0.903418,1,1,0,8.89346,0.552105
-8.80164,0.770312,0.903418,1,1,0,9.68142,0.552105
-8.66872,1,0.903418,1,1,0,9.01011,0.539171
-7.64303,0.989696,0.903418,1,3,0,8.72925,0.320008
-7.63857,0.999981,0.903418,1,3,0,7.64227,0.329496
-7.72038,0.980867,0.903418,1,3,0,7.74042,0.279846
-7.65911,0.995225,0.903418,2,3,0,7.76482,0.305895
-7.81571,0.952443,0.903418,1,3,0,7.94532,0.417118
-8.10198,0.927144,0.903418,1,1,0,8.11057,0.470434
-7.94,0.892379,0.903418,2,3,0,8.96839,0.443326
-7.66755,0.976457,0.903418,1,3,0,8.08305,0.300929
-7.79521,0.97949,0.903418,1,3,0,7.79794,0.260422
-8.15385,0.877423,0.903418,1,3,0,8.73457,0.478082
-8.38047,0.980323,0.903418,2,3,0,8.47214,0.507662
-8.083,1,0.903418,1,1,0,8.36456,0.467531
-7.64007,0.998326,0.903418,1,3,0,8.05245,0.34176
-7.75564,0.890654,0.903418,2,3,0,8.3189,0.26984
-7.98333,0.913694,0.903418,1,3,0,8.39985,0.451161
-8.03858,0.810121,0.903418,2,3,0,9.42525,0.220713
-7.79231,0.937356,0.903418,2,7,0,8.54708,0.411267
-10.4003,0.64555,0.903418,2,7,0,10.4058,0.0896088
-9.63507,1,0.903418,1,1,0,10.41,0.11475
-9.03637,1,0.903418,1,1,0,9.63419,0.141817
-8.48804,0.965432,0.903418,2,3,0,9.78098,0.17675
-8.31862,1,0.903418,1,1,0,8.5425,0.190906
-8.4042,0.995366,0.903418,2,3,0,8.50842,0.183482
-9.08441,0.96793,0.903418,2,3,0,9.09543,0.139309
-8.85587,1,0.903418,1,1,0,9.1928,0.151918
-7.655,1,0.903418,2,3,0,8.7183,0.308695
-7.92204,0.947543,0.903418,1,3,0,7.95582,0.237113
-8.77592,0.92794,0.903418,2,7,0,8.77597,0.549668
-7.74117,0.928674,0.903418,1,3,0,9.27161,0.273717
-10.1169,0.582525,0.903418,1,3,0,10.8778,0.0979792
-9.28643,1,0.903418,1,1,0,10.0766,0.129471
-7.87715,0.990441,0.903418,2,7,0,8.97411,0.430908
-7.72182,0.964397,0.903418,2,3,0,8.15979,0.390353
-8.65757,0.687004,0.903418,2,3,0,9.71587,0.164474
-9.22943,0.924364,0.903418,1,1,0,9.27242,0.132137
-7.70757,0.91128,0.903418,2,7,0,10.0782,0.385175
-8.67065,0.81796,0.903418,1,3,0,8.71723,0.539365
-9.72353,0.759012,0.903418,1,1,0,9.82849,0.624791
-7.72779,1,0.903418,1,3,0,9.33836,0.392395
-7.72999,0.967426,0.903418,1,3,0,7.95479,0.276921
-7.88783,0.963504,0.903418,2,3,0,8.07342,0.242676
-7.82873,0.947655,0.903418,1,3,0,8.38185,0.420214
-7.69645,1,0.903418,2,7,0,7.79868,0.288055
-7.70707,0.866225,0.903418,2,3,0,8.70709,0.284225
-7.64234,0.999552,0.903418,1,3,0,7.69867,0.320981
-8.63908,0.775013,0.903418,1,3,0,8.9975,0.165736
-8.1077,0.868876,0.903418,1,3,0,10.1338,0.471298
-8.35018,0.787985,0.903418,2,3,0,9.72739,0.504003
-8.07659,1,0.903418,1,1,0,8.34236,0.466535
-7.63819,0.998577,0.903418,2,3,0,8.09366,0.3324
-7.85101,0.949421,0.903418,1,3,0,7.90608,0.425281
-7.84636,1,0.903418,2,7,0,7.84694,0.250051
-7.63822,0.998067,0.903418,1,3,0,7.86378,0.331965
-7.73575,0.985331,0.903418,2,3,0,7.75202,0.275245
-7.73792,0.999535,0.903418,1,1,0,7.75906,0.274627
-7.6893,0.866582,0.903418,2,3,0,8.77931,0.290848
-7.6893,0.331014,0.903418,1,3,0,12.4906,0.290848
-7.64064,0.955537,0.903418,2,3,0,8.00133,0.342946
-7.95973,0.929373,0.903418,1,3,0,8.01175,0.446957
-7.8996,1,0.903418,1,1,0,7.99839,0.435508
-7.66078,0.980895,0.903418,1,3,0,8.01498,0.304838
-7.64086,1,0.903418,2,3,0,7.65622,0.343366
-7.65248,0.997001,0.903418,2,3,0,7.66416,0.356603
-7.65248,0.445049,0.903418,1,3,0,11.1835,0.356603
-8.17308,0.891899,0.903418,1,3,0,8.22694,0.480819
-7.66422,1,0.903418,2,3,0,8.10069,0.302787
-7.67105,0.998456,0.903418,1,1,0,7.67543,0.299089
-8.18025,0.868312,0.903418,1,3,0,8.47538,0.481827
-9.10636,0.780569,0.903418,1,1,0,9.13242,0.578964
-7.64783,1,0.903418,1,3,0,8.95581,0.352415
-7.7806,0.973148,0.903418,1,3,0,7.78868,0.408177
-7.65381,1,0.903418,1,3,0,7.75279,0.357675
