# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:27:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\mnma5azk.json
# init = 2 (Default)
# random
#   seed = 44217
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308232738_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.937074
# Diagonal elements of inverse mass matrix:
# 0.429282
-8.10177,0.751271,0.937074,2,3,0,9.16103,0.213034
-8.30112,0.964082,0.937074,1,1,0,8.34972,0.192501
-9.01693,0.890613,0.937074,1,1,0,9.02397,0.142853
-8.6574,1,0.937074,1,1,0,9.05639,0.164485
-8.20671,1,0.937074,2,3,0,8.60356,0.201634
-7.72908,0.986597,0.937074,2,3,0,8.34508,0.277189
-7.64417,1,0.937074,2,3,0,7.71177,0.348346
-7.65342,0.995493,0.937074,1,3,0,7.67296,0.309862
-7.80763,0.954876,0.937074,1,3,0,7.90647,0.415142
-9.02015,0.815462,0.937074,2,7,0,9.02016,0.14268
-9.06412,0.991991,0.937074,2,7,0,9.07785,0.575442
-8.46959,1,0.937074,1,1,0,9.02953,0.517997
-7.8204,1,0.937074,1,1,0,8.28849,0.418246
-7.63827,0.996772,0.937074,2,3,0,7.84199,0.335269
-7.65656,0.937371,0.937074,2,3,0,8.0112,0.307594
-8.04655,0.897654,0.937074,1,3,0,8.22588,0.461777
-8.04655,0.956312,0.937074,1,1,0,8.24289,0.461777
-7.73235,1,0.937074,1,1,0,7.96049,0.393911
-7.65788,1,0.937074,2,3,0,7.7142,0.306698
-7.63853,0.999622,0.937074,2,3,0,7.66034,0.329664
-7.73705,0.974935,0.937074,1,3,0,7.76483,0.395437
