# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:30:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\h0tnhzf8.json
# init = 2 (Default)
# random
#   seed = 72673
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308233055_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.992561
# Diagonal elements of inverse mass matrix:
# 0.360373
-7.66238,0.99302,0.992561,1,3,0,7.68498,0.363698
-9.71958,0.62896,0.992561,1,3,0,10.0021,0.624526
-8.33599,1,0.992561,2,3,0,9.37663,0.502263
-8.56042,0.980684,0.992561,2,3,0,8.69724,0.527954
-8.93382,0.906114,0.992561,1,1,0,9.10195,0.564187
-8.00384,1,0.992561,2,7,0,8.7371,0.225257
-8.00384,0.908429,0.992561,1,1,0,8.45922,0.225257
-8.24405,0.739894,0.992561,2,3,0,10.6041,0.19791
-8.05637,1,0.992561,1,1,0,8.24867,0.218478
-7.99028,1,0.992561,1,1,0,8.09764,0.227103
-7.77754,0.953627,0.992561,1,3,0,8.45222,0.407351
-7.90479,0.905189,0.992561,1,3,0,8.37754,0.239865
-7.82399,1,0.992561,1,1,0,7.90938,0.254385
-7.81131,0.945626,0.992561,2,3,0,8.41213,0.416048
-9.41976,0.516746,0.992561,2,7,0,11.359,0.123536
-9.06057,1,0.992561,1,1,0,9.50106,0.140545
-8.4574,1,0.992561,1,1,0,8.99373,0.179153
-7.65124,0.99071,0.992561,1,3,0,8.49865,0.311584
-7.78964,0.975882,0.992561,2,3,0,7.84815,0.261661
-7.65117,0.990538,0.992561,1,3,0,7.87111,0.355502
-7.98142,0.931833,0.992561,1,3,0,8.01198,0.450826
-7.88984,0.89482,0.992561,1,3,0,8.67937,0.242336
-7.88378,1,0.992561,1,1,0,7.93857,0.243362
-7.63889,1,0.992561,2,3,0,7.84864,0.3385
-7.88255,0.936879,0.992561,1,3,0,7.98674,0.243573
-8.1865,0.981518,0.992561,2,3,0,8.18949,0.203717
-8.36913,0.84239,0.992561,1,3,0,9.83427,0.506301
-7.90394,0.902173,0.992561,2,3,0,9.24682,0.436375
-8.90567,0.700047,0.992561,2,3,0,10.1931,0.561674
-8.12215,1,0.992561,1,1,0,8.72216,0.473456
-10.0725,0.733831,0.992561,2,7,0,10.1537,0.0993826
-8.09085,0.957815,0.992561,1,3,0,9.98105,0.214313
-7.8205,1,0.992561,1,1,0,8.03928,0.255088
-7.77162,0.834746,0.992561,2,3,0,9.3933,0.405725
-7.83487,0.994601,0.992561,2,3,0,7.856,0.421638
-7.83487,0.857023,0.992561,1,3,0,8.62702,0.421638
-7.84484,0.997413,0.992561,1,1,0,7.89233,0.423903
-8.22921,0.80718,0.992561,1,3,0,9.12625,0.199371
-8.92508,0.896362,0.992561,1,1,0,8.92672,0.147912
-7.72688,0.97948,0.992561,1,3,0,8.90366,0.277849
-7.83252,0.978169,0.992561,1,1,0,7.83508,0.2527
-7.81679,0.941138,0.992561,2,3,0,8.47791,0.417379
-7.68887,0.973198,0.992561,1,3,0,7.99567,0.291025
-7.67373,0.989772,0.992561,1,3,0,7.7846,0.37023
-7.67373,0.867942,0.992561,1,3,0,8.32646,0.37023
-7.93951,0.931726,0.992561,2,3,0,8.17571,0.443234
-7.6397,1,0.992561,2,3,0,7.9257,0.325831
-8.30637,0.879885,0.992561,2,3,0,8.54175,0.192019
-9.04868,0.893163,0.992561,1,1,0,9.051,0.141168
-7.6828,0.933562,0.992561,1,3,0,9.72941,0.374746
-7.70254,0.995067,0.992561,1,1,0,7.70949,0.383225
-7.78685,0.978797,0.992561,1,1,0,7.79062,0.409841
-8.14061,0.970573,0.992561,2,3,0,8.14234,0.476168
-8.21986,0.99305,0.992561,2,3,0,8.333,0.487279
-9.50131,0.712898,0.992561,1,1,0,9.51335,0.609373
-7.97296,1,0.992561,2,7,0,9.10143,0.449332
-7.65154,1,0.992561,1,3,0,7.92182,0.355819
-7.66129,0.992997,0.992561,2,3,0,7.7031,0.304525
-9.18309,0.687345,0.992561,1,3,0,9.71266,0.134366
-8.96586,1,0.992561,1,1,0,9.30877,0.145631
-9.64297,0.973512,0.992561,2,3,0,9.69351,0.114445
-7.8044,0.983788,0.992561,2,7,0,9.23254,0.414339
-8.21555,0.897847,0.992561,1,1,0,8.21717,0.486695
-7.79748,1,0.992561,1,1,0,8.10707,0.412594
-7.80186,0.99887,0.992561,1,1,0,7.84096,0.413703
-8.21116,0.898316,0.992561,1,1,0,8.21264,0.486098
-8.46686,0.9342,0.992561,1,1,0,8.56674,0.51769
-8.46686,0.604424,0.992561,1,3,0,11.3244,0.51769
-8.88922,0.964746,0.992561,2,3,0,9.02641,0.560191
-7.70655,0.936863,0.992561,2,3,0,9.35937,0.384787
-8.63005,0.868398,0.992561,2,3,0,8.63179,0.166359
-7.70711,0.94379,0.992561,1,3,0,9.21056,0.385001
-7.70711,0.7581,0.992561,1,3,0,8.94336,0.385001
-8.23119,0.903324,0.992561,1,3,0,8.24321,0.488803
-8.50703,0.929211,0.992561,1,1,0,8.60873,0.522168
-8.10282,1,0.992561,2,3,0,8.45341,0.470562
-9.22454,0.742747,0.992561,1,1,0,9.23102,0.58852
-8.26784,1,0.992561,1,1,0,9.00764,0.493638
-7.90305,0.879082,0.992561,1,3,0,9.11566,0.240148
-7.96873,0.987486,0.992561,1,1,0,8.00667,0.230128
-7.93906,1,0.992561,1,1,0,8.01685,0.234492
-7.70949,0.974356,0.992561,2,3,0,8.22763,0.385899
-7.6387,0.998291,0.992561,1,3,0,7.71921,0.328914
-8.70638,0.774202,0.992561,1,3,0,8.97748,0.542923
-7.7141,1,0.992561,1,3,0,8.49599,0.387605
-7.70937,1,0.992561,1,1,0,7.7294,0.385857
-8.33806,0.883122,0.992561,1,3,0,8.3565,0.502518
-8.2879,1,0.992561,1,1,0,8.48296,0.496224
-8.53186,0.937144,0.992561,1,1,0,8.65303,0.524881
-7.90308,1,0.992561,1,1,0,8.36923,0.436203
-7.94252,0.879446,0.992561,1,3,0,8.66811,0.233969
-8.10588,0.970152,0.992561,1,1,0,8.13107,0.212558
-7.68025,0.96963,0.992561,1,3,0,8.38386,0.373523
-7.71897,0.677878,0.992561,2,3,0,9.99805,0.280291
-7.64051,0.999379,0.992561,1,3,0,7.71347,0.324067
-7.64465,0.998742,0.992561,2,3,0,7.65104,0.317966
-7.64465,0.702209,0.992561,2,3,0,9.50977,0.317966
-7.68135,0.993601,0.992561,1,3,0,7.6825,0.294207
-7.6822,0.97197,0.992561,2,3,0,7.91414,0.374461
-8.11927,0.9166,0.992561,1,3,0,8.13556,0.473029
-8.52725,0.897148,0.992561,1,1,0,8.58437,0.524381
-7.77466,0.923593,0.992561,2,3,0,9.14115,0.406563
-7.64612,1,0.992561,1,3,0,7.75256,0.350635
-7.8702,0.934356,0.992561,1,3,0,8.01324,0.245717
