# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 22:30:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\norbe\AppData\Local\Temp\tmpdmwn_5vi\h0tnhzf8.json
# init = 2 (Default)
# random
#   seed = 72673
# output
#   file = C:\Users\norbe\Desktop\public_lectures-master\Data Analytics 2022\Lab 1 - Python review\out\bern_1-20220308233055_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02091
# Diagonal elements of inverse mass matrix:
# 0.462603
-8.86092,0.857837,1.02091,1,3,0,8.86188,0.15162
-8.2756,1,1.02091,2,3,0,8.78938,0.19488
-7.65299,0.969497,1.02091,1,3,0,8.25478,0.357026
-7.64964,1,1.02091,1,1,0,7.65513,0.354149
-7.77504,0.968067,1.02091,1,3,0,7.77516,0.406668
-8.90421,0.626899,1.02091,2,3,0,10.0159,0.149102
-8.23,1,1.02091,1,1,0,8.79589,0.199293
-8.8777,0.87163,1.02091,1,1,0,8.91499,0.150636
-9.83039,0.854144,1.02091,1,1,0,9.90406,0.107518
-8.06205,1,1.02091,1,3,0,9.48644,0.217778
-8.62175,0.96001,1.02091,2,3,0,8.64587,0.166935
-7.65504,0.867055,1.02091,2,3,0,10.3308,0.308669
-8.18453,0.820378,1.02091,2,3,0,8.63499,0.482426
-7.71254,0.999906,1.02091,2,3,0,8.24328,0.282377
-8.03148,0.937661,1.02091,1,3,0,8.03148,0.221621
-7.64325,0.997578,1.02091,2,3,0,8.02438,0.347136
-8.40629,0.85056,1.02091,2,3,0,8.60606,0.183309
-8.68633,0.943553,1.02091,1,1,0,8.81245,0.162543
-7.65452,0.987492,1.02091,1,3,0,8.50406,0.309047
-7.65452,0.950967,1.02091,1,3,0,7.83211,0.309047
-7.65452,0.880507,1.02091,1,3,0,8.05215,0.309047
